战士	327
一直	326
城	326
呀	325
留	324
知	323
分	323
全	322
晚上	322
实现	322
希望	321
随	320
忙	320
会议	320
弄	319
农业	319
入	318
往	318
各种	318
左	316
停	315
文艺	315
增加	313
草	312
实践	312
只有	311
战斗	311
女	310
衣服	309
不要	308
感到	307
于是	307
该	307
任何	306
时期	306
帮助	305
纸	305
並且	304
另	304
爬	304
反动	303
文章	302
线	302
飞机	302
化学	300
别	299
江	299
突然	298
岸	297
抬	297
总	297
冷	296
学校	296
回答	295
影响	295
十分	294
听见	294
市	294
使用	294
了解	293
注意	293
此	293
变化	293
嗯	293
人员	292
皮	291
相	290
计划	290
农民	290
常常	289
身体	289
存在	289
速度	289
自动	289
落	288
过去	287
那么	287
钢	287
部队	286
产生	286
伸	285
声	285
创造	282
面前	281
里面	281
倒	281
祖国	281
经过	281
哪儿	281
管	281
有些	280
清楚	279
所有	279
矛盾	279
段	278
冲	278
现象	278
出去	277
座	276
病	276
及	276
清	275
接着	275
下	275
生	274
活	274
愿意	274
县	273
方向	273
某	273
过程	273
常	272
点	272
哪里	272
把	272
经过	272
越越	272
掉	271
底	271
里	271
枪	271
床	271
样子	271
摇	270
省	270
机器	270
抱	270
布	269
只是	269
形成	268
制	268
动物	268
前进	267
意思	266
以及	266
哪	266
文学	265
直	264
取得	264
别人	263
完成	263
阵	263
重	262
成	262
电影	262
难	261
马上	261
着	261
坚持	261
具有	261
群	260
有一点	260
刚才	260
亮	259
不但	259
材料	259
国民党	259
也许	258
换	258
立刻	258
统治	256
整个	255
规律	255
学	255
系统	254
收	256
画	256
急	252
根	252
喜欢	252
然而	252
仿佛	252
表现	252
中间	251
洗	251
甚至	251
斤	251
水平	251
类	251
烧	250
自然	250
酒	250
挂	249
同	248
腿	248
牛	248
年轻	247
似乎	247
以前	246
破	246
一就	246
嘛	246
团结	246
广大	246
歌	245
关于	245
石油	245
右	244
种	244
严重	243
屋子	243
地球	243
上面	242
她们	241
物质	240
永远	239
团	239
时代	238
台	238
土地	238
总是	237
努力	237
统一	237
委员	236
通过	236
联系	236
改造	236
短	235
比较	235
瞧	235
侵略	235
量	235
工程	234
组	234
规定	234
倒	233
应当	233
房子	233
鸡	232
摸	232
大量	232
爷爷	232
靠	231
全部	231
政策	231
读	230
推	229
间	229
对	229
烟	228
领导	228
回来	228
听说	228
碗	227
级	227
大会	227
数学	227
石	226
女人	226
空气	226
哩	225
真正	225
发动	225
原则	225
吹	224
首先	224
太太	224
了	223
朝	223
窗	223
所	223
来	222
湖	222
认真	222
道路	222
总理	222
则	221
相信	220
班	220
顶	220
作为	219
倍	219
平原	219
公里	219
记	218
前面	218
懂	218
乱	218
表示	217
态度	217
不仅	217
共产主义	217
分子	217
哲学	217
哥哥	217
支	216
之后	216
仍然	216
取	216
几乎	216
生命	216
黄	216
队伍	216
菜	216
电影	216
个人	216
院	215
之后	215
强	215
木	214
街	214
巨大	214
会	214
将来	213
土	213
交	213
玻璃	213
派	212
师	212
种	212
派	212
定	211
要	211
界	211
艺术	211
油	211
积极	211
目前	211
竟	210
称	210
旁边	209
业	209
更加	208
肯	208
环境	208
教师	208
哎	208
破坏	207
占	207
肉	206
封建	206
整	205
碰	205
明天	205
制造	205
利益	205
事实	204
即	204
唯物	204
未	203
翻	203
儿子	203
错	203
女儿	203
应	202
其中	202
能力	202
药	202
叫做	202
反映	202
终于	201
城市	201
结合	201
含	201
气候	201
母	201
师傅	201
传	200
除了	200
日子	200
元	200
鞋	200
说明	200
杀	199
细	199
如何	199
部门	199
既	198
躺	198
项	198
妇女	198
副	197
棉	197
门口	197
服务	197
集中	197
纤维	197
摆	196
以为	196
俩	196
哦	196
压	195
消息	195
古	195
丰富	194
机关	194
产品	194
举	193
周围	193
比	193
后面	193
答应	193
中心	193
生物	193
指出	193
实行	193
军队	193
双	192
大概	192
机会	191
上去	191
上来	191
曾	191
回	191
迅速	191
引起	191
忘	191
修	191
洲	191
有时	190
照	190
只好	190
篇	190
苦	190
角	189
指导	189
本	189
形式	189
报	188
改	188
实在	188
建	188
国际	188
晚	187
内容	187
成立	187
长期	187
加强	187
方针	187
圆	186
改变	186
闹	186
管理	186
达到	186
小时	186
坚决	186
简直	185
